Ticker;Mercado;Preço Atual;ROE_%;P/L
ABCB4;BR;23.79;15.0;4.4
AFLT3;BR;7.52;12.7;14.19
ALPA3;BR;9.4;16.46;10.93
ALPA4;BR;11.94;16.46;13.88
ALUP11;BR;33.04;12.68;7.92
ALUP3;BR;11.81;12.68;10.36
ALUP4;BR;10.55;12.68;9.25
BALM4;BR;16.95;13.51;9.02
BAZA3;BR;63.9;12.19;3.85
BBDC4;BR;18.26;13.37;8.7
BEEF3;BR;3.54;83.75;7.53
BEES3;BR;8.75;13.75;9.62
BEES4;BR;8.94;13.75;9.82
BMEB3;BR;50.18;32.38;6.44
BMEB4;BR;60.74;32.38;7.8
BMGB4;BR;5.38;13.51;5.38
BMKS3;BR;384.0;28.82;2.93
BMOB3;BR;23.93;15.55;12.73
BPAC5;BR;19.2;24.84;12.72
BRSR3;BR;17.9;15.59;4.15
CAMB3;BR;9.63;22.39;5.84
CEAB3;BR;10.99;16.79;5.85
CEBR3;BR;26.4;16.64;11.84
CEBR5;BR;25.5;16.64;11.49
CEBR6;BR;29.05;16.64;13.03
CLSC4;BR;137.95;18.18;7.75
CMIG4;BR;11.03;17.04;6.45
CMIN3;BR;4.31;25.74;10.51
CPFE3;BR;45.69;24.76;9.14
CSED3;BR;3.93;16.95;5.24
CSUD3;BR;14.5;20.92;5.87
CTKA4;BR;30.98;173.15;3.12
CURY3;BR;34.93;73.69;9.76
CYRE3;BR;23.4;21.14;5.2
DEXP3;BR;7.0;13.88;9.59
DEXP4;BR;7.0;13.88;9.59
DIRR3;BR;14.28;42.95;8.98
EALT4;BR;11.89;16.65;5.77
ECOR3;BR;7.56;17.33;7.07
ENGI4;BR;9.1;12.09;12.64
ENMT3;BR;38.94;18.42;12.48
ENMT4;BR;36.5;18.42;11.7
EQPA3;BR;5.2;28.2;7.43
EUCA3;BR;25.89;14.63;5.83
EUCA4;BR;24.61;14.63;5.54
EVEN3;BR;5.68;12.19;2.85
FIQE3;BR;5.75;18.76;9.27
GGPS3;BR;12.39;17.13;13.18
GRND3;BR;3.78;17.92;5.4
HGLG11;BR;150.3;12.24;9.59
HYPE3;BR;20.99;12.95;8.01
IGTI3;BR;3.55;15.36;6.12
INTB3;BR;13.25;18.77;7.53
ITSA3;BR;13.6;18.4;8.95
ITUB3;BR;44.5;21.82;10.8
ITUB4;BR;42.74;21.82;10.37
JHSF3;BR;11.02;27.88;3.49
KNCR11;BR;107.66;15.48;8.9
LAVV3;BR;11.6;26.56;5.71
LPSB3;BR;1.47;22.14;4.9
LREN3;BR;14.8;14.48;10.0
LUXM4;BR;3.22;12.46;8.05
MDNE3;BR;30.05;27.16;5.3
MELK3;BR;3.2;13.38;5.42
MILS3;BR;15.42;26.31;8.57
MOTV3;BR;14.83;20.4;10.09
MOVI3;BR;9.5;12.87;9.05
MULT3;BR;29.35;20.02;11.88
NUTR3;BR;2.23;15.71;3.98
OFSA3;BR;28.8;33.28;6.41
PASS3;BR;24.77;18.85;14.32
PETR4;BR;38.25;25.6;4.7
PINE3;BR;11.82;36.49;5.47
PINE4;BR;12.25;36.49;5.67
PLPL3;BR;8.58;37.97;5.11
POMO3;BR;5.56;30.91;5.56
POMO4;BR;5.96;30.91;5.96
RECV3;BR;9.64;12.35;5.3
RIAA3;BR;8.88;28.16;2.95
RSUL4;BR;53.48;23.32;5.17
SAUD3;BR;14.62;40.37;14.06
SBSP3;BR;30.37;21.23;11.96
SHUL4;BR;4.74;18.2;6.16
SOND5;BR;77.09;47.66;5.48
SPTW11;BR;36.96;12.45;5.73
TAEE3;BR;13.53;20.56;8.9
TAEE4;BR;13.83;20.56;9.1
TECN3;BR;8.9;17.36;8.17
TEND3;BR;37.0;47.06;7.52
TGMA3;BR;30.89;25.37;8.56
TIMS3;BR;22.8;17.72;12.74
TRIS3;BR;4.33;13.18;4.25
UGPA3;BR;27.53;19.18;9.66
VBBR3;BR;30.38;13.96;11.82
VIVA3;BR;22.77;20.75;9.14
VLID3;BR;17.8;14.4;5.74
VULC3;BR;14.11;48.36;3.62
WIZC3;BR;8.24;28.62;6.81
ACGL;USA;102.2;21.31;7.86
ACN;USA;137.35;24.41;10.96
ADBE;USA;219.72;62.95;12.56
ADP;USA;242.27;71.21;22.62
AFL;USA;120.88;16.47;13.81
AIZ;USA;279.48;18.02;14.32
ALL;USA;250.33;45.22;5.54
ALLE;USA;140.58;34.18;19.2
AMP;USA;489.16;66.94;12.2
AON;USA;357.46;46.45;19.61
AOS;USA;62.72;28.27;16.73
APA;USA;32.36;26.22;7.54
AVY;USA;166.97;30.86;18.8
AXP;USA;351.96;34.42;21.98
BALL;USA;63.39;16.79;18.48
BBY;USA;77.99;39.1;14.44
BF-B;USA;26.16;17.85;17.1
BKR;USA;52.78;17.18;16.86
BMY;USA;58.13;38.73;16.28
BR;USA;143.95;42.31;15.38
CB;USA;361.17;15.43;12.77
CBOE;USA;248.99;25.14;21.28
CCEP;USA;106.61;22.89;21.98
CCL;USA;27.91;26.69;12.57
CDW;USA;133.37;44.16;16.23
CEG;USA;239.25;16.1;20.79
CF;USA;110.54;27.3;9.96
CHTR;USA;137.2;27.5;3.71
CI;USA;287.77;16.27;12.19
CINF;USA;192.03;18.73;10.98
CLX;USA;97.26;546.1;15.81
CMCSA;USA;23.79;20.92;4.66
CME;USA;236.6;15.92;20.2
COR;USA;296.51;107.13;22.72
CPAY;USA;352.46;32.12;21.09
CRH;USA;107.53;15.81;19.95
CRM;USA;166.11;16.91;19.23
DAL;USA;92.75;24.99;13.54
DECK;USA;104.69;40.86;14.91
DG;USA;118.17;18.91;16.71
DLTR;USA;124.05;33.98;19.91
DRI;USA;204.32;53.72;19.57
DVA;USA;234.91;80.98;22.63
DVN;USA;40.47;15.18;11.27
EIX;USA;75.66;18.86;8.22
EOG;USA;130.78;18.2;12.86
ERIE;USA;259.25;25.85;23.76
EXE;USA;90.72;17.57;6.75
EXPE;USA;268.69;71.49;23.76
FDS;USA;250.09;27.03;16.47
FIS;USA;41.8;17.22;8.1
FOX;USA;50.56;15.2;13.31
FOXA;USA;56.48;15.2;14.86
FSLR;USA;224.57;18.44;14.52
GD;USA;373.54;17.97;23.52
GDDY;USA;88.51;398.21;14.03
GEHC;USA;65.565;19.46;15.72
GEN;USA;26.67;39.88;16.99
GILD;USA;131.27;43.36;17.86
GL;USA;180.49;20.46;12.48
HIG;USA;137.85;22.74;9.7
HON;USA;229.86;24.26;18.34
INCY;USA;116.86;30.82;16.51
INTU;USA;275.35;22.5;16.81
IT;USA;136.32;94.88;13.48
JKHY;USA;146.87;24.89;20.54
JPM;USA;334.47;16.47;16.0
KMB;USA;114.72;111.73;22.19
KVUE;USA;19.83;15.7;23.61
LDOS;USA;108.84;30.58;9.96
LULU;USA;118.43;32.03;9.59
LVS;USA;46.99;90.45;17.34
MAS;USA;82.77;8457.14;20.49
META;USA;582.9;32.93;21.19
MKC;USA;53.45;24.73;8.89
MPC;USA;266.35;27.46;17.55
MRSH;USA;178.54;27.57;22.32
MS;USA;213.93;16.39;19.38
NCLH;USA;19.78;29.53;15.95
NEM;USA;97.04;25.83;12.59
NKE;USA;44.09;22.14;21.0
NOC;USA;549.01;28.51;17.21
NTAP;USA;154.17;106.73;24.28
NVR;USA;6750.79;33.26;16.47
OKE;USA;87.83;15.9;15.66
PDD;USA;82.39;25.4;8.68
PEP;USA;144.22;43.88;22.64
PG;USA;151.41;31.11;22.14
PGR;USA;232.22;37.9;11.81
PHM;USA;133.67;16.18;12.91
PNR;USA;76.72;17.61;19.28
PPG;USA;125.33;20.75;17.96
PTC;USA;124.55;34.4;11.96
PYPL;USA;45.47;25.12;8.53
RCL;USA;296.3;49.58;18.08
RJF;USA;162.66;17.29;15.36
RMD;USA;209.63;25.25;20.2
SCHW;USA;97.0;19.08;19.28
SMCI;USA;27.22;17.88;14.33
SNA;USA;412.09;18.2;21.27
SOLV;USA;78.27;34.79;9.58
STLD;USA;220.39;15.25;23.6
STZ;USA;137.47;23.69;13.09
SYF;USA;76.33;21.78;7.9
SYY;USA;84.83;81.89;23.56
TEL;USA;197.44;22.72;20.17
TGT;USA;130.21;22.02;17.2
TMUS;USA;177.52;18.02;18.87
TROW;USA;118.55;18.69;12.72
TRV;USA;342.31;25.27;10.22
TSCO;USA;31.76;45.5;15.65
TTD;USA;19.1;16.74;21.7
UAL;USA;133.32;25.73;11.91
UBER;USA;74.43;35.31;18.47
UHS;USA;158.33;21.37;6.61
ULTA;USA;461.33;47.45;17.3
UNP;USA;282.25;40.69;23.25
UPS;USA;110.66;33.35;17.94
VLO;USA;267.76;15.85;19.57
VLTO;USA;92.55;36.46;23.85
WRB;USA;72.08;20.16;15.27
WTW;USA;286.22;20.61;16.81
ZTS;USA;74.8;67.75;12.26
