Ticker;Val_Pessimista;Val_Base;Val_Otimista;Num_Analistas;Recomendacao;Data_Atualizacao;Fonte
AGRO3;22.5;23.83333;25.0;3;;28/04/2026 22:35:24;API Oficial
AMOB3;17.0;18.03333;20.0;3;Strong Buy;28/04/2026 22:35:24;API Oficial
B3SA3;0.0;0.0;0.0;0;N/A;28/04/2026 22:56:26;Sem Cobertura
BBAS3;21.0;26.93846;39.0;13;Hold;28/04/2026 22:35:24;API Oficial
BBDC3;0.0;0.0;0.0;0;N/A;28/04/2026 22:56:26;Sem Cobertura
BBSE3;32.0;36.91667;46.0;12;Hold;28/04/2026 22:35:24;API Oficial
BRSR6;11.0;15.1;17.3;8;Underperform;28/04/2026 22:35:24;API Oficial
CMIG3;0.0;0.0;0.0;0;N/A;28/04/2026 22:56:26;Sem Cobertura
CXSE3;16.0;19.31429;22.0;14;Buy;28/04/2026 22:52:05;API Oficial
EGIE3;27.0;32.4049;39.0;14;Underperform;28/04/2026 22:52:05;API Oficial
EQTL3;42.8;48.10429;54.0;14;Strong Buy;28/04/2026 22:52:05;API Oficial
EZTC3;13.0;18.41818;23.0;11;Hold;28/04/2026 22:52:05;API Oficial
FLRY3;14.0;17.45455;19.3;11;Buy;28/04/2026 22:52:05;API Oficial
GMAT3;5.5;7.175;9.0;8;Buy;28/04/2026 22:52:05;API Oficial
ITSA4;13.72549;16.46078;18.0;7;;28/04/2026 22:52:05;API Oficial
KEPL3;9.0;9.25;9.5;2;Buy;28/04/2026 22:52:05;API Oficial
KLBN3;0.0;0.0;0.0;0;N/A;28/04/2026 22:56:26;Sem Cobertura
LEVE3;30.0;36.75;45.0;4;Hold;28/04/2026 22:56:26;API Oficial
PETR3;35.0;52.36667;65.0;6;Buy;28/04/2026 22:56:26;API Oficial
PRIO3;52.0;67.225;82.0;14;Buy;28/04/2026 22:56:26;API Oficial
PSSA3;46.0;55.0;61.0;11;Buy;28/04/2026 22:56:26;API Oficial
RAIZ4;0.5;1.24111;3.0;9;Hold;28/04/2026 22:56:26;API Oficial
RANI3;11.0;12.25;14.0;4;Strong Buy;28/04/2026 22:56:26;API Oficial
SAPR4;0.0;0.0;0.0;0;N/A;28/04/2026 22:56:26;Sem Cobertura
SBFG3;15.5;17.38889;20.0;9;Strong Buy;28/04/2026 22:56:26;API Oficial
SMTO3;14.8;21.03333;31.0;9;Hold;28/04/2026 22:56:26;API Oficial
SOJA3;9.0;10.5;12.0;7;Hold;28/04/2026 22:56:26;API Oficial
SUZB3;53.0;68.15294;75.0;17;Strong Buy;28/04/2026 22:56:26;API Oficial
TAEE11;32.7;38.00583;44.9;12;Underperform;28/04/2026 22:56:26;API Oficial
TTEN3;18.7;21.4;26.0;10;None;28/04/2026 22:56:26;API Oficial
VAMO3;4.1;5.38462;7.0;13;Buy;28/04/2026 22:56:26;API Oficial
VIVT3;31.0;40.79286;52.0;14;Buy;28/04/2026 22:56:26;API Oficial
