Ticker;Mercado;Preço;Alvo_Pessimista;Val_Pessimista;Val_Base;Val_Otimista;Nota_Recomendacao;ROE_%;P/L;Margem_Liquida_%;Dividend_Yield_%;VPA;EV_EBIT;Liquidez_Corrente;Status_Cofre
PLPL3;BR;10.19;12.0;12.0;18.77778;26.0;1.33333;37.97;5.11;9.85;17.47;5.04;4.58;2.87;Quarentena Automática
CEAB3;BR;11.32;15.5;15.5;18.95;24.5;1.33333;16.79;5.85;7.32;8.23;12.25;4.66;1.67;Quarentena Automática
TRIS3;BR;4.87;7.0;7.0;8.5;10.0;2.75;13.18;4.25;13.17;25.12;6.33;6.24;3.21;Quarentena Automática
CURY3;BR;30.06;38.0;38.0;45.29167;52.0;1.33333;73.69;9.76;18.37;12.51;5.01;7.39;1.94;Quarentena Automática
CYRE3;BR;23.49;29.0;29.0;35.83077;42.0;1.46154;21.14;5.2;20.76;16.24;24.37;10.92;3.78;Quarentena Automática
LAVV3;BR;13.05;18.0;18.0;22.2;26.0;1.4;26.56;5.71;22.06;8.82;7.0;8.06;4.22;Quarentena Automática
VULC3;BR;15.78;21.0;21.0;23.0;26.0;1.33333;48.36;3.62;31.34;55.28;7.76;5.81;2.95;Quarentena Automática
DIRR3;BR;12.85;16.5;16.5;19.54167;23.0;1.5;42.95;8.98;18.16;18.49;4.09;7.55;4.26;Quarentena Automática
EVEN3;BR;6.23;6.0;6.0;8.77143;10.0;2.85714;12.19;2.85;11.31;16.13;9.84;7.68;4.53;Quarentena Automática
MDNE3;BR;30.19;38.0;38.0;42.5;47.0;1.33333;27.16;5.3;19.89;15.75;17.97;6.22;2.78;Quarentena Automática
PINE4;BR;14.37;18.0;18.0;19.68;22.4;1.4;36.49;5.67;36.66;7.28;6.75;N/A;N/A;Quarentena Automática
RIAA3;BR;9.59;11.5;11.5;13.45;17.0;1.3;28.16;2.95;14.2;37.98;10.61;6.18;1.6;Quarentena Automática
POMO4;BR;6.48;8.0;8.0;9.13;10.5;1.3;30.91;5.96;13.81;17.14;3.27;5.89;1.97;Quarentena Automática
TEND3;BR;28.1;37.0;37.0;43.20833;49.0;1.25;47.06;7.52;13.43;3.33;11.08;7.65;2.0;Quarentena Automática
CSED3;BR;5.38;4.5;4.5;7.7;10.0;2.4;16.95;5.24;9.49;12.35;4.53;4.51;1.55;Quarentena Automática
LREN3;BR;13.6;16.0;16.0;19.01429;22.0;1.66667;14.48;10.0;9.37;6.2;10.62;6.53;1.77;Quarentena Automática
IQV;USA;157.77;195.0;195.0;226.47368;284.0;1.34783;22.49;25.72;8.33;N/A;37.27;16.26;0.75;Quarentena Automática
JKHY;USA;154.03;161.0;161.0;185.46153;208.0;1.6875;24.89;20.54;20.64;1.62;29.98;14.75;1.74;Quarentena Automática
ACN;USA;179.83;130.0;130.0;179.2908;275.0;1.85714;24.41;10.96;10.66;4.75;52.12;6.48;1.34;Quarentena Automática
VIVA3;BR;25.81;24.0;24.0;33.14286;38.0;1.57143;20.75;9.14;18.97;5.96;12.89;8.03;4.14;Quarentena Automática
BR;USA;155.25;165.0;165.0;206.5;255.0;2.22222;42.31;15.38;15.03;2.71;24.36;11.21;0.94;Quarentena Automática
BEEF3;BR;3.8;4.25;4.25;6.41154;10.0;2.53846;83.75;7.53;1.25;3.52;1.28;3.63;1.32;Quarentena Automática
VLTO;USA;87.63;100.0;100.0;108.05882;132.0;1.89474;36.46;23.85;17.32;56.0;12.23;17.54;1.48;Quarentena Automática
UHS;USA;167.0;165.0;165.0;213.82353;310.0;2.31579;21.37;6.61;8.56;51.0;123.31;5.52;1.08;Quarentena Automática
WIZC3;BR;8.87;10.0;10.0;10.33333;11.0;3.0;28.62;6.81;14.43;7.63;4.36;2.78;1.06;Quarentena Automática
TSCO;USA;33.83;32.0;32.0;44.77778;60.0;2.0;45.5;15.65;6.91;3.02;4.78;11.7;1.38;Quarentena Automática
ZTS;USA;114.16;85.0;85.0;118.29412;160.0;2.0;67.75;12.26;28.04;2.83;7.84;9.49;3.15;Quarentena Automática
ALLE;USA;135.49;142.0;142.0;165.18182;189.0;2.38462;34.18;19.2;15.24;1.51;24.45;13.85;1.91;Quarentena Automática
CPAY;USA;307.22;340.0;340.0;395.14285;450.0;1.71429;32.12;21.09;24.6;N/A;53.08;12.28;0.98;Quarentena Automática
LDOS;USA;149.23;110.0;110.0;168.26666;225.0;2.125;30.58;9.96;8.15;1.58;39.85;8.41;1.4;Quarentena Automática
PDD;USA;99.72;80.039;80.039;116.190094;170.21655;1.68571;25.4;8.68;21.62;N/A;44.36;-3.25;2.54;Quarentena Automática
VTRU3;BR;13.6;15.0;15.0;19.35;22.0;2.14286;35.22;1.76;48.63;18.0;27.85;4.96;2.13;Quarentena Automática
LVS;USA;53.79;52.0;52.0;68.51053;78.5;1.7;90.45;17.34;13.41;2.34;1.81;9.11;0.92;Quarentena Automática
ECOR3;BR;8.79;10.0;10.0;13.07692;17.0;1.84615;17.33;7.07;6.26;4.0;5.88;5.34;1.69;Quarentena Automática
POOL;USA;208.09;210.0;210.0;254.54546;300.0;2.35714;34.24;20.15;7.58;2.37;31.1;14.92;1.87;Quarentena Automática
LULU;USA;133.58;88.0;88.0;132.16;280.0;2.87879;32.03;9.59;13.03;N/A;42.17;5.48;2.23;Quarentena Automática
GEN;USA;19.37;22.0;22.0;30.00778;46.0;2.0;39.88;16.99;19.46;1.87;4.37;10.02;0.4;Quarentena Automática
TMUS;USA;196.06;212.0;212.0;259.07693;300.0;1.62069;18.02;18.87;11.65;2.3;51.46;9.17;1.09;Quarentena Automática
MRSH;USA;166.18;179.0;179.0;199.5238;236.0;2.47826;27.57;22.32;14.26;2.02;30.21;14.03;1.11;Quarentena Automática
CCL;USA;26.66;28.7;28.7;35.8625;45.0;1.57692;26.69;12.57;11.24;1.07;9.45;8.51;0.33;Quarentena Automática
AVY;USA;163.03;175.0;175.0;200.3;221.0;1.54545;30.86;18.8;7.66;2.4;30.01;11.27;1.15;Quarentena Automática
WTW;USA;256.34;275.0;275.0;333.26315;391.0;1.85714;20.61;16.81;16.84;1.34;84.61;11.63;1.19;Quarentena Automática
PTC;USA;136.53;130.0;130.0;179.25;230.0;1.84211;34.4;11.96;41.58;N/A;33.42;11.62;1.23;Quarentena Automática
GEHC;USA;61.03;65.0;65.0;79.22222;98.0;1.94737;19.46;15.72;9.1;21.0;23.45;10.89;1.22;Quarentena Automática
MILS3;BR;12.71;12.8;12.8;16.61667;20.0;2.125;26.31;8.57;22.79;7.78;7.82;5.14;2.21;Quarentena Automática
ASAI3;BR;8.85;9.0;9.0;11.24615;13.0;1.8;12.42;23.76;0.9;1.35;4.39;6.14;1.1;Quarentena Automática
TEL;USA;207.43;220.0;220.0;262.10526;338.0;1.68421;22.72;20.17;15.54;1.51;45.3;13.22;1.89;Quarentena Automática
CDW;USA;136.03;123.0;123.0;145.11111;170.0;1.90909;44.16;16.23;4.7;1.89;19.96;11.4;1.17;Quarentena Automática
MKC;USA;50.24;51.0;51.0;60.23077;75.0;2.13333;24.73;8.89;21.91;3.59;26.02;13.47;0.78;Quarentena Automática
ALUP11;BR;34.5;35.7;35.7;40.82727;48.0;1.63636;12.68;7.92;25.17;2.54;28.17;8.71;3.3;Quarentena Automática
NOC;USA;568.14;580.0;580.0;689.3324;815.0;2.125;28.51;17.21;10.8;1.71;120.5;12.79;1.15;Quarentena Automática
UAL;USA;92.52;95.0;95.0;145.64583;182.0;1.34615;25.73;11.91;6.06;N/A;48.91;7.62;0.7;Quarentena Automática
CI;USA;282.9;290.0;290.0;340.5;400.0;1.41667;16.27;12.19;2.26;2.17;159.52;7.42;0.82;Quarentena Automática
SYF;USA;75.76;77.0;77.0;89.43478;103.0;1.82609;21.78;7.9;36.39;1.57;45.27;N/A;N/A;Quarentena Automática
ACGL;USA;93.82;93.0;93.0;108.97368;125.0;2.25;21.31;7.86;24.64;N/A;66.45;6.02;0.57;Quarentena Automática
META;USA;608.745;664.46;664.46;828.16864;1015.0;1.35938;32.93;21.19;32.84;36.0;96.01;13.59;2.35;Quarentena Automática
SEER3;BR;12.71;12.8;12.8;16.18571;20.0;1.85714;18.48;1.65;10.91;3.97;11.08;4.34;1.56;Quarentena Automática
SCHW;USA;91.54;84.0;84.0;116.57895;137.0;1.68182;19.08;19.28;37.99;1.32;24.43;N/A;0.63;Quarentena Automática
PPG;USA;107.51;108.0;108.0;124.05;140.0;2.21739;20.75;17.96;9.83;2.27;36.36;12.61;1.61;Quarentena Automática
EXE;USA;100.12;100.0;100.0;129.0;160.0;1.51852;17.57;6.75;24.91;3.52;81.41;3.31;1.11;Quarentena Automática
LMT;USA;512.77;511.0;511.0;617.0526;756.0;2.54545;67.64;26.45;6.38;2.53;32.56;18.09;1.14;Quarentena Automática
HIG;USA;135.81;135.0;135.0;147.85;163.0;2.26087;22.74;9.7;14.11;1.74;67.5;6.9;1.79;Quarentena Automática
CINF;USA;162.05;172.0;172.0;181.5;191.0;2.125;18.73;10.98;21.33;1.96;101.64;8.04;1.04;Quarentena Automática
PG;USA;147.26;145.0;145.0;163.43478;186.0;2.04167;31.11;22.14;19.16;2.81;23.08;15.11;0.73;Quarentena Automática
AMP;USA;467.19;467.0;467.0;543.5455;636.0;2.42857;66.94;12.2;20.17;1.39;68.96;N/A;2.48;Quarentena Automática
BBY;USA;60.05;60.0;60.0;79.15;90.0;2.54167;39.1;14.44;2.73;4.92;14.63;7.13;1.12;Quarentena Automática
BALL;USA;61.33;60.0;60.0;70.78571;77.0;1.66667;16.79;18.48;6.86;1.26;21.04;11.86;1.12;Quarentena Automática
AOS;USA;60.35;59.0;59.0;70.45455;84.0;2.5;28.27;16.73;13.84;2.26;13.62;11.44;1.56;Quarentena Automática
DG;USA;114.43;90.0;90.0;131.24138;175.0;2.3;18.91;16.71;3.63;2.0;40.09;11.96;1.17;Quarentena Automática
EOG;USA;138.95;129.0;129.0;158.2963;196.0;2.21875;18.2;12.86;23.32;3.12;57.79;5.89;1.72;Quarentena Automática
GL;USA;152.72;147.0;147.0;177.36365;215.0;1.90909;20.46;12.48;19.38;73.0;78.12;10.28;0.66;Quarentena Automática
INTB3;BR;14.27;13.7;13.7;16.87;19.0;1.9;18.77;7.53;12.36;10.59;9.61;7.13;2.65;Quarentena Automática
NCLH;USA;18.81;14.0;14.0;21.58333;32.0;2.0;29.53;15.95;5.66;N/A;5.3;9.54;0.21;Quarentena Automática
GDDY;USA;86.76;83.0;83.0;112.14286;190.0;2.11765;398.21;14.03;17.32;N/A;1.79;10.87;0.67;Quarentena Automática
AON;USA;311.51;298.0;298.0;383.3158;436.0;2.0;46.45;19.61;22.54;92.0;46.04;15.52;1.07;Quarentena Automática
IT;USA;146.4;120.0;120.0;165.0;203.0;2.8;94.88;13.48;11.44;N/A;0.93;8.09;0.94;Quarentena Automática
PGR;USA;199.31;190.0;190.0;230.95238;313.0;2.625;37.9;11.81;12.93;5.99;54.86;9.36;0.3;Quarentena Automática
CLX;USA;87.11;83.0;83.0;105.29412;163.0;3.10526;546.1;15.81;11.18;5.1;-0.55;11.94;0.84;Quarentena Automática
PNR;USA;79.1;75.0;75.0;101.29412;125.0;1.95;17.61;19.28;15.97;1.38;23.58;13.1;1.88;Quarentena Automática
GD;USA;345.84;313.0;313.0;392.92953;444.0;2.16667;17.97;23.52;8.07;1.7;96.58;16.5;1.38;Quarentena Automática
SYY;USA;74.05;77.0;77.0;87.07143;100.0;2.11765;81.89;23.56;2.08;2.59;4.8;11.84;1.33;Quarentena Automática
RCL;USA;265.55;255.0;255.0;336.8846;425.0;1.69231;49.58;18.08;24.36;1.69;36.58;14.63;0.2;Quarentena Automática
MAS;USA;71.24;67.0;67.0;81.0;97.0;2.36364;8457.14;20.49;10.9;1.55;-1.2;13.73;1.75;Quarentena Automática
MOTV3;BR;16.0;15.0;15.0;18.58333;22.1;1.66667;20.4;10.09;17.4;1.4;8.12;7.16;1.64;Quarentena Automática
GILD;USA;131.65;122.0;122.0;157.66667;180.0;1.7;43.36;17.86;30.99;2.5;18.93;11.89;1.97;Quarentena Automática
UBER;USA;75.12;70.0;70.0;104.5512;150.0;1.51852;35.31;18.47;15.91;N/A;12.15;22.64;1.07;Quarentena Automática
OKE;USA;90.36;84.0;84.0;95.47619;113.0;2.04348;15.9;15.66;10.03;4.87;35.49;11.85;0.71;Quarentena Automática
GIS;USA;34.72;31.0;31.0;37.88235;57.0;3.04762;-1.03;N/A;-0.47;6.49;10.35;6.67;0.68;Quarentena Automática
JPM;USA;312.47;295.0;295.0;344.7143;391.0;2.16;16.47;16.0;33.94;1.79;128.38;N/A;N/A;Quarentena Automática
KMB;USA;97.67;90.0;90.0;114.8;162.0;2.53333;111.73;22.19;12.8;4.46;5.41;13.36;0.77;Quarentena Automática
NVR;USA;6154.14;5664.0;5664.0;7132.0;8096.0;2.71429;33.26;16.47;12.49;N/A;1279.01;10.62;5.58;Quarentena Automática
CRH;USA;115.45;105.0;105.0;143.70212;165.6;1.36364;15.81;19.95;9.64;1.45;34.52;11.94;1.59;Quarentena Automática
CCEP;USA;94.18;94.03386;94.03386;106.21397;114.156265;1.90909;22.89;21.98;9.29;2.26;19.87;16.97;0.8;Quarentena Automática
SOLV;USA;66.63;60.0;60.0;82.15385;100.0;2.5;34.79;9.58;17.33;N/A;28.64;16.27;1.07;Quarentena Automática
UNP;USA;266.32;239.0;239.0;293.04544;330.0;1.79167;40.69;23.25;29.2;1.96;32.71;15.73;0.92;Quarentena Automática
BLAU3;BR;10.03;9.0;9.0;12.63636;17.0;2.5;10.86;10.77;13.82;2.99;9.93;6.15;2.66;Quarentena Automática
ULTA;USA;531.95;450.0;450.0;627.25;735.0;1.92593;47.45;17.3;9.35;N/A;63.48;11.6;1.31;Quarentena Automática
DECK;USA;100.88;90.0;90.0;126.85714;184.0;2.4;40.86;14.91;18.71;N/A;17.86;9.72;3.54;Quarentena Automática
CB;USA;326.22;291.0;291.0;346.08698;386.0;2.4;15.43;12.77;18.53;1.13;189.93;11.31;0.39;Quarentena Automática
AXP;USA;319.68;312.0;312.0;366.5828;450.0;2.37037;34.42;21.98;16.3;1.08;49.85;N/A;1.57;Quarentena Automática
BRAV3;BR;19.13;17.0;17.0;22.68182;27.0;1.66667;2.06;36.55;1.96;69.0;24.56;5.39;1.12;Quarentena Automática
EIX;USA;69.88;62.0;62.0;75.10714;86.0;2.64706;18.86;8.22;18.12;4.64;44.8;8.55;0.74;Quarentena Automática
ADP;USA;214.21;190.0;190.0;247.13333;305.0;2.83333;71.21;22.62;20.12;2.81;15.85;15.46;1.04;Quarentena Automática
MULT3;BR;31.72;28.0;28.0;37.53846;46.0;1.53846;20.02;11.88;40.23;3.89;13.2;9.22;1.2;Quarentena Automática
RMD;USA;205.02;180.0;180.0;260.6;325.0;2.16667;25.25;20.2;27.44;1.14;44.76;13.96;3.01;Quarentena Automática
ABCB4;BR;25.06;21.8361;21.8361;27.8475;32.0;2.22222;15.0;4.4;41.54;9.82;29.53;N/A;N/A;Quarentena Automática
ADBE;USA;250.71;190.0;190.0;280.65698;460.0;2.46154;62.95;12.56;28.69;N/A;28.87;9.13;0.75;Quarentena Automática
PETR4;BR;49.08;44.0;44.0;54.53333;64.0;1.85714;25.6;4.7;21.6;10.19;34.54;4.02;0.74;Quarentena Automática
CHTR;USA;171.74;124.0;124.0;230.23529;413.0;2.9;27.5;3.71;9.03;N/A;133.23;5.36;0.4;Quarentena Automática
DVN;USA;50.56;44.0;44.0;60.65385;68.0;1.52;15.18;11.27;14.17;2.57;24.84;4.77;1.01;Quarentena Automática
SNA;USA;380.39;330.0;330.0;393.16666;445.0;2.6;18.2;21.27;19.6;2.37;115.03;14.9;3.53;Quarentena Automática
AFL;USA;112.88;99.0;99.0;112.42857;130.0;3.07143;16.47;13.81;25.6;2.02;58.69;11.52;0.94;Quarentena Automática
ITW;USA;255.47;219.0;219.0;279.04785;317.0;3.38889;96.85;25.33;19.32;2.36;11.22;18.36;1.19;Quarentena Automática
STZ;USA;152.82;115.0;115.0;171.0;209.0;2.04348;23.69;13.09;20.14;3.0;46.78;9.9;0.91;Quarentena Automática
LII;USA;526.33;450.0;450.0;571.0;651.0;2.5;76.79;25.31;15.09;95.0;34.87;18.84;1.57;Quarentena Automática
TIMS3;BR;25.75;22.0;22.0;26.84286;31.0;2.57143;17.72;12.74;16.02;6.96;10.22;5.79;0.92;Quarentena Automática
CMCSA;USA;27.19;21.0;21.0;32.28571;44.0;2.73077;20.92;4.66;15.0;5.55;24.68;4.82;0.86;Quarentena Automática
DLTR;USA;94.67;85.0;85.0;125.41667;165.0;2.74074;33.98;19.91;6.51;N/A;18.13;12.65;1.16;Quarentena Automática
IBM;USA;232.2;195.0;195.0;293.8857;390.0;2.04762;35.77;25.64;15.61;2.33;35.08;19.88;0.8;Quarentena Automática
BMOB3;BR;26.2;24.0;24.0;30.95;35.0;2.0;15.55;12.73;8.91;7.43;11.48;10.9;1.78;Quarentena Automática
PHM;USA;119.21;100.0;100.0;138.07692;162.0;2.1875;16.18;12.91;12.14;78.0;67.9;8.87;7.14;Quarentena Automática
UGPA3;BR;29.94;25.0;25.0;31.65714;39.0;2.25;19.18;9.66;2.06;6.36;15.41;6.15;1.67;Quarentena Automática
TRV;USA;304.72;252.0;252.0;314.08698;350.0;2.59259;25.27;10.22;15.54;1.46;150.45;7.08;0.34;Quarentena Automática
PEP;USA;157.41;132.0;132.0;165.54546;195.0;2.56522;43.88;22.64;9.15;4.1;15.63;12.79;0.9;Quarentena Automática
CPFE3;BR;48.93;40.0;40.0;50.7925;58.7;3.25;24.76;9.14;12.79;8.17;21.09;6.28;1.15;Quarentena Automática
